customer_id,customer_name,segment,country,state,city,postal_code,region
CG-10000,Alejandro Davies,Corporate,United States,Arizona,Tucson,87272,West
CG-10001,Jennifer Patel,Corporate,United States,California,San Francisco,78501,West
CG-10002,Zuschuss Lonsdale,Home Office,United States,Texas,Austin,43371,Central
CG-10003,Alejandro Johnson,Consumer,United States,Virginia,Richmond,50540,South
CG-10004,Patricia Van,Home Office,United States,California,San Francisco,34908,West
CG-10005,John Kriz,Home Office,United States,Texas,Austin,50111,Central
CG-10006,Lisa Smith,Consumer,United States,Virginia,Richmond,27517,South
CG-10007,Brosina Patel,Corporate,United States,New York,Buffalo,71473,East
CG-10008,Alejandro Gonzalez,Consumer,United States,Maryland,Baltimore,16870,East
CG-10009,Brosina Donatelli,Consumer,United States,New Jersey,Newark,21692,East
CG-10010,Maria Brown,Home Office,United States,Pennsylvania,Pittsburgh,49343,East
CG-10011,Harold Smith,Corporate,United States,Ohio,Columbus,84902,Central
CG-10012,Patricia Watkins,Corporate,United States,Georgia,Atlanta,67307,South
CG-10013,Brosina Johnson,Corporate,United States,Colorado,Denver,10662,West
CG-10014,Zuschuss Patel,Corporate,United States,Virginia,Richmond,60007,South
CG-10015,Sandra Gute,Consumer,United States,Massachusetts,Boston,22581,East
CG-10016,Maria Donatelli,Corporate,United States,New Jersey,Newark,17127,East
CG-10017,Sandra Flake,Corporate,United States,North Carolina,Raleigh,81541,South
CG-10018,Claire Gonzalez,Consumer,United States,New Jersey,Newark,49304,East
CG-10019,Jennifer Williams,Consumer,United States,Massachusetts,Boston,83949,East
CG-10020,Irene Brown,Corporate,United States,Colorado,Denver,36423,West
CG-10021,Ken Smith,Corporate,United States,Oregon,Portland,46826,West
CG-10022,Robert Gonzalez,Consumer,United States,Massachusetts,Boston,25027,East
CG-10023,John Chen,Consumer,United States,California,San Diego,51568,West
CG-10024,Brosina Donatelli,Consumer,United States,North Carolina,Raleigh,72668,South
CG-10025,Harold Chen,Consumer,United States,Washington,Seattle,66724,West
CG-10026,Sean Gonzalez,Home Office,United States,Florida,Orlando,96569,South
CG-10027,Zuschuss Watkins,Home Office,United States,New Jersey,Newark,33716,East
CG-10028,John Smith,Consumer,United States,Georgia,Atlanta,50442,South
CG-10029,Michael O'Donnell,Consumer,United States,California,San Francisco,51019,West
CG-10030,Robert Flake,Consumer,United States,Illinois,Chicago,51688,Central
CG-10031,Zuschuss Patel,Consumer,United States,Florida,Tampa,37779,South
CG-10032,Darrin Nguyen,Consumer,United States,Texas,Dallas,78173,Central
CG-10033,Claire Eckert,Consumer,United States,New Jersey,Newark,54458,East
CG-10034,Sean Eckert,Consumer,United States,Texas,Austin,62887,Central
CG-10035,Jennifer Flake,Consumer,United States,Maryland,Baltimore,65120,East
CG-10036,Claire Eckert,Consumer,United States,Illinois,Chicago,96269,Central
CG-10037,Darrin Van,Consumer,United States,New Jersey,Newark,70400,East
CG-10038,Michael Eckert,Consumer,United States,Massachusetts,Boston,61454,East
CG-10039,Jennifer Gonzalez,Corporate,United States,Georgia,Atlanta,86479,South
CG-10040,Pete Johnson,Home Office,United States,Pennsylvania,Philadelphia,58853,East
CG-10041,Harold O'Donnell,Corporate,United States,Washington,Spokane,20698,West
CG-10042,John Patel,Corporate,United States,Pennsylvania,Pittsburgh,38860,East
CG-10043,Jennifer Allen,Consumer,United States,Arizona,Tucson,22713,West
CG-10044,Pete Gonzalez,Corporate,United States,Michigan,Detroit,84680,Central
CG-10045,Andrew Jones,Consumer,United States,Georgia,Atlanta,65966,South
CG-10046,Irene Jones,Consumer,United States,Minnesota,Minneapolis,94242,Central
CG-10047,Alejandro Jones,Home Office,United States,Texas,Houston,99312,Central
CG-10048,Patricia Allen,Consumer,United States,Arizona,Tucson,90409,West
CG-10049,Lisa Gonzalez,Consumer,United States,Pennsylvania,Philadelphia,69548,East
CG-10050,John Kriz,Home Office,United States,Florida,Tampa,33621,South
CG-10051,Claire O'Donnell,Home Office,United States,Georgia,Atlanta,90271,South
CG-10052,Pete Flake,Home Office,United States,Arizona,Phoenix,14030,West
CG-10053,Jennifer Smith,Home Office,United States,Washington,Seattle,54937,West
CG-10054,Sean Brown,Consumer,United States,Michigan,Detroit,11254,Central
CG-10055,Maria Jones,Consumer,United States,New York,New York City,20964,East
CG-10056,Lisa Flake,Consumer,United States,Virginia,Richmond,87787,South
CG-10057,Darrin Patel,Consumer,United States,Florida,Tampa,49044,South
CG-10058,Michael Van,Consumer,United States,Oregon,Portland,45781,West
CG-10059,Ken Chen,Home Office,United States,Oregon,Portland,56891,West
CG-10060,Michael Donatelli,Corporate,United States,Maryland,Baltimore,12237,East
CG-10061,Sean Patel,Consumer,United States,Arizona,Tucson,22630,West
CG-10062,Brosina Flake,Home Office,United States,Colorado,Denver,76448,West
CG-10063,Emily Smith,Consumer,United States,North Carolina,Charlotte,69719,South
CG-10064,Irene Smith,Consumer,United States,Washington,Spokane,40081,West
CG-10065,Michael Williams,Corporate,United States,Ohio,Cleveland,36086,Central
CG-10066,Michael Davies,Corporate,United States,New York,New York City,96634,East
CG-10067,Zuschuss Lonsdale,Consumer,United States,Georgia,Atlanta,32305,South
CG-10068,Robert Johnson,Consumer,United States,Virginia,Richmond,89346,South
CG-10069,Sandra Kriz,Home Office,United States,Oregon,Portland,23155,West
CG-10070,Sean Brown,Consumer,United States,Pennsylvania,Pittsburgh,92886,East
CG-10071,Brosina Donatelli,Consumer,United States,Washington,Spokane,20393,West
CG-10072,Brosina Johnson,Corporate,United States,Texas,Houston,14804,Central
CG-10073,Pete Johnson,Consumer,United States,Ohio,Cleveland,38618,Central
CG-10074,Lisa Williams,Consumer,United States,Minnesota,Minneapolis,54377,Central
CG-10075,Andrew Allen,Corporate,United States,Colorado,Denver,32444,West
CG-10076,Claire Gute,Corporate,United States,North Carolina,Charlotte,43624,South
CG-10077,Robert O'Donnell,Home Office,United States,Florida,Miami,14676,South
CG-10078,Robert Johnson,Home Office,United States,Texas,Austin,91237,Central
